rowid,pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_kepflag,pl_k2flag,kepler,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_eqt,pl_disc,pl_instrument,solarsystemflag
2123,Kepler-346,b,Transit,6.511127,0.071,,,,,0.237,,1,0,1,,15.214,Kepler-band,6033,0.97,1.02,41773,,2014,Kepler CCD Array,0
1111,Kepler-127,c,Transit,29.393195,0.2,,,,,0.237,,1,0,1,,11.485,Kepler-band,6106,,1.36,41773,,2014,Kepler CCD Array,0
1859,Kepler-253,c,Transit,10.281951,0.089,,,,,0.236,,1,0,1,,15.532,Kepler-band,5208,,0.79,41773,,2014,Kepler CCD Array,0
1989,Kepler-299,c,Transit,6.885875,0.07,,,,,0.236,,1,0,1,,15.017,Kepler-band,5617,0.97,1.03,41773,,2014,Kepler CCD Array,0
2197,Kepler-375,c,Transit,19.986326,0.141,,,,,0.236,,1,0,1,,15.699,Kepler-band,5826,0.89,0.84,41773,,2014,Kepler CCD Array,0
1112,Kepler-127,d,Transit,48.630408,0.28,,,,,0.236,,1,0,1,,11.485,Kepler-band,6106,,1.36,41773,,2014,Kepler CCD Array,0
1764,Kepler-221,e,Transit,18.369917,0.13,,,,,0.235,,1,0,1,,13.749,Kepler-band,5243,0.72,0.82,41773,,2014,Kepler CCD Array,0
2044,Kepler-319,c,Transit,6.941357,0.069,,,,,0.235,,1,0,1,,13.828,Kepler-band,5526,1.29,0.9,41773,,2014,Kepler CCD Array,0
1893,Kepler-265,c,Transit,17.028937,0.127,,,,,0.235,,1,0,1,,15.381,Kepler-band,5835,1.03,1.1,41773,,2014,Kepler CCD Array,0
1825,Kepler-242,b,Transit,8.20395,0.075,,,,,0.233,,1,0,1,,15.376,Kepler-band,5020,,0.85,41773,,2014,Kepler CCD Array,0
1871,Kepler-257,b,Transit,2.382667,0.034,,,,,0.233,,1,0,1,,15.471,Kepler-band,5180,,1.04,41773,,2014,Kepler CCD Array,0
1945,Kepler-284,c,Transit,37.514456,0.213,,,,,0.233,,1,0,1,,15.824,Kepler-band,5615,,0.81,41773,,2014,Kepler CCD Array,0
2119,Kepler-344,b,Transit,21.963945,0.153,,,,,0.233,,1,0,1,,15.378,Kepler-band,5774,0.9,0.98,41773,,2014,Kepler CCD Array,0
1739,Kepler-214,b,Transit,15.660544,0.13,,,,,0.233,,1,0,1,,13.949,Kepler-band,6169,,1.35,41773,,2014,Kepler CCD Array,0
1846,Kepler-25,b,Transit,6.2385,0.068,,,12.7,Mass,0.232,,1,0,1,,10.734,Kepler-band,6270,1.19,1.31,41773,,2011,Kepler CCD Array,0
1635,Kepler-176,c,Transit,12.759712,0.102,,,,,0.232,,1,0,1,,14.55,Kepler-band,5232,,0.89,41773,,2014,Kepler CCD Array,0
957,Kepler-115,c,Transit,8.990889,0.087,,,,,0.232,,1,0,1,,13.431,Kepler-band,5979,1,1.21,41773,,2014,Kepler CCD Array,0
2850,Kepler-84,e,Transit,27.434389,0.181,,,,,0.232,,1,0,1,,14.764,Kepler-band,6031,1,1.17,41773,,2014,Kepler CCD Array,0
1045,Kepler-122,e,Transit,37.993273,0.227,,,,,0.232,,1,0,1,,14.247,Kepler-band,6050,0.99,1.22,41773,,2014,Kepler CCD Array,0
1895,Kepler-265,e,Transit,67.831024,0.319,,,,,0.231,,1,0,1,,15.381,Kepler-band,5835,1.03,1.1,41773,,2014,Kepler CCD Array,0
1685,Kepler-194,c,Transit,17.308032,0.131,,,,,0.231,,1,0,1,,14.915,Kepler-band,6089,,1.02,41773,,2014,Kepler CCD Array,0
2607,Kepler-65,c,Transit,5.859944,0.068,,,,,0.23,,1,0,1,,11.018,Kepler-band,6211,1.25,1.41,41773,,2012,Kepler CCD Array,0
1616,Kepler-169,f,Transit,87.090195,0.359,,,,,0.23,,1,0,1,,14.194,Kepler-band,4997,0.86,0.76,41773,,2014,Kepler CCD Array,0
1652,Kepler-182,b,Transit,9.825792,0.096,,,,,0.23,,1,0,1,,14.896,Kepler-band,6250,1.14,1.15,41773,,2014,Kepler CCD Array,0
1824,Kepler-241,c,Transit,36.065978,0.189,,,,,0.229,,1,0,1,,15.389,Kepler-band,4699,,0.67,41773,,2014,Kepler CCD Array,0
1832,Kepler-245,b,Transit,7.49019,0.071,,,,,0.229,,1,0,1,,15.599,Kepler-band,5100,0.8,0.8,41773,,2014,Kepler CCD Array,0
2032,Kepler-313,c,Transit,32.273273,0.208,,,,,0.229,,1,0,1,,14.167,Kepler-band,5727,0.9,1.54,41773,,2014,Kepler CCD Array,0
1711,Kepler-203,b,Transit,3.162697,0.043,,,,,0.229,,1,0,1,,13.989,Kepler-band,5821,0.98,1.11,41773,,2014,Kepler CCD Array,0
1621,Kepler-171,c,Transit,11.463462,0.098,,,,,0.228,,1,0,1,,14.883,Kepler-band,5642,,0.84,41773,,2014,Kepler CCD Array,0
1632,Kepler-175,b,Transit,11.903515,0.105,,,,,0.228,,1,0,1,,14.939,Kepler-band,6064,1.04,1.01,41773,,2014,Kepler CCD Array,0
1491,Kepler-156,c,Transit,15.906801,0.117,,,,,0.227,,1,0,1,,14.172,Kepler-band,5094,,0.81,41773,,2014,Kepler CCD Array,0
2062,Kepler-325,c,Transit,12.762172,0.105,,,,,0.227,,1,0,1,,15.009,Kepler-band,5752,0.87,1,41773,,2014,Kepler CCD Array,0
1136,Kepler-129,c,Transit,82.20017,0.393,,,,,0.227,,1,0,1,,11.696,Kepler-band,5770,1.18,1.64,41773,,2014,Kepler CCD Array,0
1901,Kepler-268,b,Transit,25.934138,0.18,,,,,0.227,,1,0,1,,13.703,Kepler-band,6081,,1.27,41773,,2014,Kepler CCD Array,0
637,HIP 116454,b,Transit,9.1205,0.0906,0.205,88.43,0.037,Mass,0.226,4.17,0,1,1,55.2,10.19,V (Johnson),5089,0.78,0.72,41992,690,2014,Kepler CCD Array,0
1448,Kepler-153,c,Transit,46.90232,0.237,,,,,0.226,,1,0,1,,14.262,Kepler-band,5404,,0.89,41773,,2014,Kepler CCD Array,0
2031,Kepler-313,b,Transit,14.970418,0.125,,,,,0.226,,1,0,1,,14.167,Kepler-band,5727,0.9,1.54,41773,,2014,Kepler CCD Array,0
1714,Kepler-204,b,Transit,14.400974,0.117,,,,,0.226,,1,0,1,,13.909,Kepler-band,5812,0.96,1.24,41773,,2014,Kepler CCD Array,0
2107,Kepler-340,b,Transit,14.844387,0.134,,,,,0.226,,1,0,1,,12.345,Kepler-band,6620,2.11,1.85,41773,,2014,Kepler CCD Array,0
2162,Kepler-361,c,Transit,55.188023,0.3,,,,,0.225,,1,0,1,,13.573,Kepler-band,6169,1.07,1.34,41773,,2014,Kepler CCD Array,0
2020,Kepler-309,c,Transit,105.356383,0.401,,,,,0.224,,1,0,1,,15.157,Kepler-band,4713,,0.72,41773,,2014,Kepler CCD Array,0
1816,Kepler-239,c,Transit,56.228098,0.268,,,,,0.224,,1,0,1,,15.208,Kepler-band,4914,0.74,0.76,41773,,2014,Kepler CCD Array,0
1636,Kepler-176,d,Transit,25.751974,0.163,,,,,0.224,,1,0,1,,14.55,Kepler-band,5232,,0.89,41773,,2014,Kepler CCD Array,0
1987,Kepler-298,d,Transit,77.473633,0.305,,,,,0.223,,1,0,1,,15.415,Kepler-band,4465,0.65,0.58,41773,,2014,Kepler CCD Array,0
